,Date,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
0,2022-04-21,China,193953,2841.0,4663.0,8.0,157869.0,2185.0,31421.0,223.0,135.0,3.0,160000000.0,111163.0,1439323776.0
1,2022-04-21,USA,82553058,45204.0,1017609.0,299.0,80355389.0,34592.0,1180060.0,1492.0,246798.0,3042.0,999047824.0,2986727.0,334495877.0
2,2022-04-21,India,43050877,903.0,522095.0,33.0,42514479.0,0.0,14303.0,698.0,30654.0,372.0,833377052.0,593395.0,1404421106.0
3,2022-04-21,Brazil,30330629,18660.0,662556.0,86.0,29353398.0,12596.0,314675.0,8318.0,140890.0,3078.0,63776166.0,296249.0,215278697.0
4,2022-04-21,France,28076017,104007.0,144799.0,185.0,25618858.0,148402.0,2312360.0,1677.0,428423.0,2210.0,266484045.0,4066382.0,65533452.0
5,2022-04-21,Germany,23915437,139849.0,134284.0,390.0,20853100.0,243700.0,2928053.0,1980.0,283809.0,1594.0,122332384.0,1451739.0,84266089.0
6,2022-04-21,UK,21909509,19472.0,173032.0,646.0,20653583.0,71883.0,1082894.0,349.0,319717.0,2525.0,514563763.0,7508832.0,68527802.0
7,2022-04-21,Russia,18110861,8875.0,374368.0,197.0,17437610.0,14182.0,298883.0,2300.0,124007.0,2563.0,273400000.0,1871999.0,146047077.0
8,2022-04-21,S. Korea,16674045,90825.0,21667.0,147.0,2108426.0,0.0,91330.0,846.0,324723.0,422.0,15804065.0,307780.0,51348592.0
9,2022-04-21,Italy,15934437,75020.0,162264.0,166.0,14549360.0,59916.0,1222813.0,415.0,264245.0,2691.0,210506904.0,3490887.0,60301830.0
10,2022-04-21,Turkey,15010718,3354.0,98645.0,17.0,14817258.0,18964.0,94815.0,975.0,174600.0,1147.0,157823818.0,1835753.0,85972252.0
11,2022-04-21,Spain,11736893,0.0,103721.0,0.0,11220981.0,0.0,412191.0,345.0,250856.0,2217.0,471036328.0,10067596.0,46787369.0
12,2022-04-21,Vietnam,10533164,12029.0,42991.0,9.0,9076927.0,8693.0,1413246.0,826.0,106487.0,435.0,85770895.0,867119.0,98914740.0
13,2022-04-21,Argentina,9060923,0.0,128344.0,0.0,8895999.0,0.0,36580.0,412.0,197225.0,2794.0,35716069.0,777414.0,45942138.0
14,2022-04-21,Netherlands,8032986,3008.0,22197.0,18.0,7561673.0,40523.0,449116.0,96.0,466950.0,1290.0,21107399.0,1226953.0,17203105.0
15,2022-04-21,Japan,7487624,47460.0,29151.0,49.0,6985295.0,65198.0,473178.0,202.0,59530.0,232.0,46249180.0,367700.0,125779711.0
16,2022-04-21,Iran,7213808,1413.0,140919.0,23.0,6958045.0,3104.0,114844.0,1173.0,83952.0,1640.0,50079995.0,582817.0,85927538.0
17,2022-04-21,Colombia,6090520,274.0,139759.0,4.0,5923901.0,282.0,26860.0,342.0,117444.0,2695.0,34327907.0,661948.0,51858888.0
18,2022-04-21,Indonesia,6042595,585.0,156015.0,41.0,5855361.0,14416.0,31219.0,2771.0,21679.0,560.0,94642736.0,339551.0,278728668.0
19,2022-04-21,Poland,5988518,1178.0,115899.0,30.0,5334233.0,70.0,538386.0,268.0,158544.0,3068.0,35991052.0,952850.0,37772015.0
20,2022-04-21,Mexico,5730560,1290.0,324004.0,31.0,5031487.0,1138.0,375069.0,4798.0,43621.0,2466.0,15737769.0,119797.0,131370534.0
21,2022-04-21,Australia,5563871,54558.0,6892.0,50.0,5131262.0,0.0,425717.0,151.0,213729.0,265.0,68623280.0,2636081.0,26032313.0
22,2022-04-21,Ukraine,4996411,1021.0,108296.0,10.0,2108426.0,0.0,91330.0,177.0,115495.0,2503.0,19521252.0,451244.0,43260977.0
23,2022-04-21,Malaysia,4415101,5899.0,35470.0,5.0,4291447.0,8434.0,88184.0,92.0,133337.0,1071.0,58190515.0,1757373.0,33112225.0
24,2022-04-21,Thailand,4106230,21931.0,27395.0,129.0,3889912.0,24619.0,188923.0,1496.0,58564.0,391.0,17270775.0,246320.0,70115191.0
25,2022-04-21,Austria,4084358,11948.0,17057.0,0.0,3958362.0,13228.0,108939.0,130.0,448886.0,1875.0,181352090.0,19931248.0,9098883.0
26,2022-04-21,Israel,4047693,2699.0,10658.0,0.0,4009152.0,67311.0,27883.0,220.0,434022.0,1143.0,41373364.0,4436346.0,9326000.0
27,2022-04-21,Belgium,3972963,0.0,31165.0,0.0,3690303.0,7246.0,251495.0,181.0,340139.0,2668.0,33313880.0,2852118.0,11680399.0
28,2022-04-21,Czechia,3890336,3440.0,40038.0,7.0,3825513.0,1704.0,24785.0,49.0,362069.0,3726.0,55075486.0,5125811.0,10744736.0
29,2022-04-21,South Africa,3750830,4406.0,100276.0,65.0,3631082.0,1049.0,19472.0,175.0,61839.0,1653.0,24262108.0,400006.0,60654305.0
30,2022-04-21,Portugal,3719485,0.0,21993.0,0.0,2108426.0,0.0,91330.0,61.0,366697.0,2168.0,40748372.0,4017307.0,10143206.0
31,2022-04-21,Canada,3684288,19589.0,38688.0,146.0,3415904.0,6139.0,229696.0,426.0,96101.0,1009.0,60485077.0,1577692.0,38337692.0
32,2022-04-21,Philippines,3683865,134.0,60056.0,66.0,3607038.0,1159.0,16771.0,289.0,32831.0,535.0,29359833.0,261661.0,112205605.0
33,2022-04-21,Switzerland,3579867,0.0,13816.0,0.0,3305310.0,0.0,260741.0,90.0,408263.0,1576.0,20666182.0,2356859.0,8768528.0
34,2022-04-21,Peru,3558613,744.0,212715.0,11.0,2108426.0,0.0,91330.0,351.0,105290.0,6294.0,29550426.0,874316.0,33798340.0
35,2022-04-21,Chile,3538843,3309.0,57325.0,42.0,3350681.0,6811.0,130837.0,295.0,182306.0,2953.0,36604833.0,1885728.0,19411512.0
36,2022-04-21,Greece,3266368,6755.0,28808.0,43.0,3136230.0,12454.0,101330.0,284.0,316158.0,2788.0,78594069.0,7607272.0,10331439.0
37,2022-04-21,Denmark,2956306,1878.0,6047.0,17.0,2924314.0,2587.0,25945.0,17.0,507180.0,1037.0,127114943.0,21807666.0,5828911.0
38,2022-04-21,Romania,2886284,1063.0,65403.0,19.0,2606660.0,0.0,214221.0,229.0,151856.0,3441.0,22554522.0,1186657.0,19006772.0
39,2022-04-21,Sweden,2498388,0.0,18656.0,0.0,2461823.0,2467.0,17909.0,19.0,244638.0,1827.0,18493218.0,1810824.0,10212599.0
40,2022-04-21,Iraq,2323878,171.0,25201.0,0.0,2295073.0,508.0,3604.0,24.0,55534.0,602.0,18443454.0,440745.0,41846122.0
